夹,ngeh
红萝卜,huan loo pok
屋簷下,ni tsinn kha
半饥饿,puann iau go
税务员,se bu uan
黑云母,oo hun bu
皮夹子,phe pau a
试味道,tshi kiam tsiann
赶苍蝇,iann hoo sin
冒冷汗,lau tshing kuann
好脸色,ho bin tshiunn
通风孔,thong hong khang
独木舟,tok bok tsun
老太太,lau thai thai
弥勒佛,bi lik hut
处女𫊻,inn bo a
录影机,liok iann ki
十三点,sam pat khui
摔桌子,siak toh i
脑贫血,nau pin hiat
剑旗鱼,ki hi ku
财神爷,tsiau tsai ong
解中气,thau tiong khui
蔓荆子,ban king tsi
小槐花,bua a tshau
好口才,hoo khau siat
事业部,su giap poo
送信儿,po hong siann
碗足儿,uann kong le
节节红,tsiam be hong
人行道,jin hing to
水流木,tsui lau tsha
红姑鱼,kah tsi hu
爪尖儿,tu kha te
明晃晃,kng iann iann
总代理,tsong tai li
刻图章,khik in a
拔牙齿,ban tshui khi
老奶奶,lau a po
大题目,tua tue bak
香蕉油,king tsio iu
大园区,tua hng khu
一刹那,tsit bak nih
消费品,siau hui phin
盐水镇,kiam tsui khu
千里马,tshian li khu
洋香瓜,iunn phang kue
扑下来,ta loh lai
红土龙,oo hi mua
杂拌儿,kiam sng tinn
不相干,bo siang kan
数不著,siau be tioh
捅搂子,tshut tai tsi
发展局,huat tian kiok
重瓣花,pik iap hue
镶螺钿,jip le tian
上半夜,ting puann mi
风信子,hong sin tsu
不讲理,huainn pa pa
小人国,sio lang kok
迈步走,pang poo kiann
货郎鼓,lin long koo
不合算,sng bo puann
白蛇传,peh tsua tuan
活性碳,uah sing thuann
成个儿,tsiann liap tsi
太师母,sian sinn ma
乌鱼子,oo hu tsi
地检署,tue kiam su
罗芙木,suann be te
杠子头,khia tsenn ong
黑珍珠,oo tsin tsu
闻不出,phinn be tshut
除臭剂,ti tshau tse
留后路,tshun au poo
七里香,tshit li hiang
受刑人,siu hing jin
天仙果,giok kak tua
点数目,tiam soo bok
诗人节,goo jit tseh
不得不,kik put kik
后堀溪,āu khut khe
浊水溪,lo tsui khue
下辈子,au tshut si
星期一,le pai it
三脚鼎,sann kha tiann
观光区,kuan kong khu
可可树,tsi ku lat
扮鬼脸,pinn hoo niau
目加溜,bak ka liu
番仔挖,huan a uat
打字机,phah li ki
哪一个,to tsit e
研究出,gian kiu tshut
踢毽子,that kian tsi
马拉松,ma la song
路旁尸,loo pong si
负责人,hu tsik jin
小虾干,song bi a
挑语病,sai ue sng
控制住,khang tse tiau
交响乐,kau hiong gak
盘杠子,seh tan kng
罗东镇,lo tong tin
香港人,hiong kang lang
急匆匆,kin piak piak
分泌物,hun pi but
上个月,ting koo gueh
气鼓鼓,khi tua tua
起重机,khi tiong ki
馒头果,ban thau ko
制度化,tse too hua
孤挺花,koo tshe hue
打喷嚏,phah ka tshiunn
负责任,tann tsik jim
房捐税,pang kuan sue
罗马字,lo ma ji
面朝上,bin hiang thinn
说不得,bue sai kong
伏著睡,phak teh khun
抗病力,phua pinn pun
龙目井,ling bak tsinn
乞祭余,ioh bong kue
风热眼,hong hue bak
墙头草,puann kan tiong
门枢纽,mng liu a
花生粉,thoo tau hu
头盖骨,thau khak uann
比方说,pi ju kong
罗圈腿,loo tsi kha
支著儿,tau tshut poo
代天府,tai thian hu
食零嘴,tsiah lan san
财产权,tsai san kuan
做鬼脸,pinn hoo niau
水龙头,tsui to thau
上年纪,u he thau
差不离,tsha bo lua
走透透,kiann thau thau
母火鸡,he kue bo
汉民族,han bin tsok
天名精,thian bing tsing
绿豆蝇,kim hoo sin
世间事,se kan su
九芎树,kiu kiong a
牛仔裤,gu a khoo
了不得,bue tit tit
亲和力,tshin ho lik
红眼鲈,ang bak lian
脚后跟,kha au tsan
慢慢地,un un a
珍珠蒿,lau kia loo
海螵蛸,hue ki tsun
卷积云,hu lan tshe
老搭档,lau tau thau
学不会,oh be hiau
中港溪,tiong kang khue
碎嘴子,kiap tshui po
回头乌,to thau oo
粪金龟,gu sai ku
坏小孩,phai gin a
马缨丹,e kau hue
硬邦邦,ngi piang piang
坐月子,tso gueh lai
倾全力,tsin phang piann
大眼鲷,ang giam kong
水鸳鸯,tsui uan iunn
南仁山,lam jin suann
雨伞节,pua ki kah
女医生,sin senn ma
有能力,u tsai tiau
金纽扣,liok sin tshau
大安区,tai an khu
正常化,tsing siong hua
私生子,khe hiann kiann
经济部,king tse poo
金斑,too kin tsiau
比如说,pi lun kong
倒地柃,hong tsun kuah
不持续,put tsiap it
红药水,ang ioh tsui
无花果,bu hua ko
蜡烛油,lah tsik iu
六块厝,lak te tshu
花粉热,hue hun jiat
妈祖庙,ma tsoo bio
水蜡树,sio lah tshiu
从头讲,tui thau kong
龟壳花,ku khak hue
捉蜻蜓,liam tshan enn
遣散费,khian san hui
奢侈品,tshia tshi phin
鹿谷乡,lok kok hiong
天门冬,te bun tong
黑麻油,oo mua iu
葬仪社,ha loo tiam
五加皮,ngoo ka pi
鹤膝风,kha tsat hong
电气学,tian khi hak
快车道,khuai tshia to
水皮儿,tsui bin ting
守规矩,siu kui ki
大吃小,tua tsiah se
货柜车,he kui tshia
萝卜糕,tshai thau kue
运用上,un iong siong
吉打参,kam a hi
蚵仔煎,o a tsian
金包里,kim pau li
无花果,bun sian ko
麦门冬,beh bun tong
出版商,tshut pan siong
马鱍鱼,ngoo a hi
八字重,pueh ji tang
丰原市,hong guan khu
老实人,tiau tit lang
华尔街,hua ni kue
辣乎乎,hiam luah luah
音乐剧,im gak kiok
打气筒,hong kuan a
夜叉婆,tshiah tsa boo
住客栈,hioh kheh tsan
劳力士,lo lik su
计算机,ke sng ki
外来语,gua lai gu
白胡椒,peh hoo tsio
五峰乡,ngoo hong hiong
注意到,tsu i tioh
清明节,tap tshing tsiat
报货单,po hue tuann
海金沙,hong be tshau
施邪术,pang hu a
不够重,bo kau tang
赶苍蝇,puann hoo sin
远东区,uan tong khu
茶叶渣,te bi phoh
大湖口,tua oo khau
搭肉刺,tah bah tshi
白花果,si ke ko
设计图,siat ke too
回娘家,tng au thau
想得开,siunn e khui
独脚戏,tok kha hi
共和党,kiong ho tong
下工夫,ha sim sin
子母扣,mng liu a
抽气机,thiu khi ki
塞手缝,seh tshiu phang
冒失鬼,tshenn a tsang
这么著,an ni a
咬指甲,ka tsng kah
妇女会,hu li hue
赤壁赋,tshik pik hu
艺术馆,ge sut kuan
自然人,tsu jian jin
驾驶员,ka su uan
土地公,thoo li kong
省主席,sing tsu sik
批发价,phi huat ke
录音机,lok im ki
喜滋滋,thiong phut phut
寄药包,kia ioh pau
黄蝴蝶,ng oo tiap
守门员,siu mng uan
竖中指,kiau tiong iann
灯笼花,ting lang hue
牛尾鱼,gu bue hi
吃排头,tsiah phong ku
竹夫人,tik hu jin
不够看,bo kau khuann
凑一脚,tau tsit kha
圣诞红,sing sing bok
现成活,pian khang khue
当事人,tong su jin
金疮药,kim tshng ioh
烧刀子,he sio to
几内亚,kui lai a
投资人,tau tsu jin
水团花,suann ong lai
赌单张,kuan koo hang
欧巴桑,oo ba sang
走邪路,kiann am loo
肚子痛,pak too thiann
超导体,tshiau to the
铁线蕨,oo kha kueh
发动机,huat tong ki
大姨子,boo tua i
准确度,tsun khak too
铁海棠,tshi a hue
巡回车,sun hue tshia
登革热,tng kut jiat
割草机,kuah tshau ki
国中生,kok tiong sing
撒药粉,sam ioh hun
水冬瓜,tsui tang kue
灌蟋蟀,kuan too kau
鸭脚木,ah kha phue
马蹄香,be te hiunn
郑成功,tenn sing kong
行李厢,au tshia tau
迷幻药,be huan ioh
后跟筋,kha au kin
盘陀路,uan uat loo
胸脯肉,hing kham bah
水蜘蛛,tsui la gia
红彤彤,ang ki ki
没良心,bo sim kuann
最高点,tsue ko tiam
蹦蹦跳,tshiak tshiak tio
剔庄货,phah tsiat hue
布袋竹,poo te tik
红头屿,âng thau su
忍冬花,kim gin hue
利尿剂,li jio tse
端架子,tiunn sin se
顾不得,koo be kau
记不住,ki be tiau
趁雨停,lang hoo phang
赤颈鸭,hue sio a
里港乡,li kang hiong
北极星,tsu ngoo tshenn
浪荡子,m tsiann kiann
后车箱,au tshia tau
为什么,ui siann mih
咸丰草,ham hong tshau
养老金,lau siam gin
九块厝,kau te tshu
假聪明,ke tsing kong
最高兴,siong huann hi
住宅区,tsu theh khu
天狗鲷,oo tu ko
沈甸甸,hi thui thui
不能够,be ing tit
万年青,ban ni tshing
硬梆梆,ngi khok khok
二八水,ji pat tsui
换个儿,uann tsit e
双筒枪,siang pak tshing
采花贼,tshai hue tshat
芭蕉布,ong lai kuah
有根基,u tue ti
看走眼,khuann tann bak
诸罗山,tsu lo san
谢城隍,sia sing hong
麻绳菜,ti bo tshai
湿搭搭,tam tih tih
鼠灰色,niau tshu sik
灯徛杇,ting khia u
开幕式,khai boo sik
牛尾鱼,gu be hu
殖民地,sit bin tue
乱坟岗,thiong a poo
经理人,king li jin
活见鬼,khuann tioh kui
征信所,ting sin soo
点血路,tiam hueh loo
六十年,tsit kah tsi
山黄栀,ng kinn a
三角裤,sann kak khoo
做记号,tso ki ho
国产车,kok san tshia
小角色,se kha e
咬舌儿,tioh tsih kin
顽皮鬼,tsian gin a
马桶盖,sai thang kua
一眨眼,tsit khun a
电机系,tian ki he
卖一个,hap a than
加起来,ka khi lai
绕远道,pha hng loo
沈睡了,m tsai tshenn
六角英,tsit hi tann
嘴快者,jiau pe a
败家子,liau ke kiann
女罗刹,hoo pa bu
高性能,ko sing ling
假发束,kue a tsang
给面子,lau bin phue
散血草,kin kut tshau
说大话,kong peh tshat
耍花样,pinn kau lang
漂流木,tsui lau tsha
瑞芳镇,sui hong khu
麻雷子,tian kong phau
赤裸裸,thng theh theh
枋桥头,pang kio thau
漫画书,ang a tsheh
金黄色,kim ng sik
太阳穴,thai iong pian
一粪坑,tsit hak sai
黑漆漆,am bok bok
出乱子,tshut tai tsi
山葡萄,ling png tin
苦肉计,khoo jiok ke
撑门面,thinn mng bin
坏心肝,oo sim kuann
禁得起,e kham tit
龙牙草,ng ling bue
有胆量,u tam liang
野姜花,ing kok hue
鼠曲粿,tshu khak ke
莲子心,lian tsi sim
城隍爷,sing hong ia
白鼻心,ke tsi ba
抵抗力,ti khong lik
推责任,thui tsik jim
一些些,tsit sut a
耍花招,pinn kau lang
黑油油,oo kim kim
白鹭鸶,peh ling si
金鱼藻,kim hu se
地下铁,tue ha thih
老不修,lau ti ko
鸡屁股,ke bue tsui
天花板,thian hua pan
红𫚧鱼,ang tso hi
受益人,siu ik jin
撑竿跳,thinn kuann thiau
核子弹,hik tsu tan
施符咒,pang hu a
冬葵子,phok a tshau
新庄市,sin tsng tshi
随便说,lam sam kong
甘薯签,han tsu tshiam
冬瓜茶,tang kue te
吹哨子,pun pi a
关起来,kuainn khi lai
赤裸裸,tshiah tiau tiau
羊臊味,iunn kong hian
预算案,u sng an
大清早,goo kinn tsa
罐头鱼,sam guan hi
踩下去,lap loh khi
大村乡,tai tshuan hiong
妓女户,tsa boo king
绷场面,pinn bin phe
坏东西,moo sin a
重头戏,tang thau hi
端午节,goo geh tsueh
单倒水,puann to tsui
报岁兰,hian sue lan
老风流,lau hong so
冒失鬼,bong tsong han
矮墩墩,ue tshak tshak
红燕鸥,ting hiunn tsiau
黑炭头,oo bah ke
瓦斯炉,ga su loo
找女人,hong kau bo
向天盏,puann ki lian
海珍珠,hai hue siunn
原子弹,guan tsu tuann
猫尾草,kau be tshau
陌生人,sinn hun lang
槟榔园,tshinn a theh
颈围兜,am sue a
洗衣槌,sue sann thui
无底洞,bo ti tsi
印花税,in hue se
匿名信,bo thau phe
经济界,king tsue kai
相思病,siunn si penn
地主国,te tsu kok
耍手段,sai tshiu loo
竹节虫,tik tsat thang
不理睬,m tshit phoh
教科书,kau kho su
致候词,ti hau su
樟脑寮,tsiunn noo liau
豆娘鱼,kau khak a
做人情,tso lin tsing
大叶楠,tua hioh lam
萤火虫,hue kim koo
西螺镇,sai le tin
养女人,tho hue ki
鹰爪花,ke jiau lan
满天星,buan thian tshenn
姑嫂婚,koo uann so
撕破脸,li phua bin
藏猫儿,ng khoo kue
纺织厂,phang tsit tshiunn
椰子弦,khok a hian
苏维埃,soo ui ia
樱石斛,kim tsioh hak
刀伤草,to siang tshau
夹肢窝,koh e khang
天主教,thian tsu kau
屠牛场,gu tsau king
座谈会,tso tam hue
绿紫菜,tshenn khoo thi
笔罗子,pit lo tsi
蹚浑水,liau loh khu
鸡肫皮,ke kian mo͘h
压倒人,ap to lang
落山风,loh suann hong
捡便宜,tsann tiu be
飘飘然,phu phu tshing
排卵期,pai nng ki
碾米厂,tsing bi soo
缝边线,tshia poo pinn
来不及,be tit hu
野葡萄,suann po to
带路鸡,tshua loo kue
罪恶感,tsue ok kam
按理说,tsiau li kong
食穿用,tsiah tshing ing
白指病,peh tsing kah
愚人节,gu jin tsiat
值星官,tit sing kuann
站卫兵,khia ue ping
私底下,su te ha
紫罗兰,tsi lo lan
桃园县,tho hng tshi
末帖药,bue thiap ioh
破伤风,kin kiann hong
绿豆椪,lik tau phong
自由日,tsu iu jit
也可以,ia e sai
茭白笋,kha peh sun
去年度,ku ni too
好相与,ho tau tin
竹南镇,tik lam tin
参政权,tsham tsing kuan
野当归,suann khun tshai
意外险,i gua hiam
铁矿石,thih khong tsioh
牛轧糖,gu phue thng
常绿榕,gu ling tshiu
鸡瞀眼,ke a bak
带路人,tshua loo ke
许可证,hi kho tsing
跳著脚,tio tshut khi
普天下,phoo thinn e
卫生局,ue sing kiok
长屁股,tang kha tshng
骨膜炎,tsiu ji nng
跟尾儿,kha te kha
骑墙派,siang thau tsua
佛手瓜,hut tshiu kue
含羞草,kian siau tshau
皮肤病,phe hu pinn
价值观,ke tat kuan
龟山乡,ku suann hiong
说真的,kong tsin e
赚死了,bau si ah
消基会,siau ki hue
反包围,to thau pau
值日生,tit jit sing
拚输赢,piann su iann
静悄悄,tsing tsiauh tsiauh
冷丝丝,ling ling a
国安法,kok an huat
郁金香,ut kim hiunn
子母弹,ke bo tshua
桔梗兰,suann kuann lan
圆滚滚,inn lin lin
公信力,kong sin lik
土芭乐,thoo puat a
忍不住,bue kham tit
补习班,poo sip pan
八败命,phua keh tshui
肾脏病,io tsi pinn
买卖业,bue bue giap
广福宫,kong hok kiong
吊死鬼,jih tiau kui
瘾君子,gian hun e
小石头,tsioh thau a
抵押金,teh te kim
糯米粥,bi ko be
发脾气,khi sing te
洛神花,lok sin hue
选举权,suan ki kuan
百百种,pah pah tsiong
童子鸡,kue nua a
麻荖漏,mua lau lau
打头阵,le thau tin
成绩单,sing tsik tuann
不碰巧,m ho se
生石灰,tshenn tsioh hue
帆立贝,lit guat ham
交易税,kau ik sue
长方形,tng ti hing
一直讲,tit tit kong
安平镇,an ping tin
北港溪,pak kang khue
阿𪡏社,a lian sia
短距离,tuan ki li
会计师,hue ke su
外县市,gua kuan tshi
土地公,tho ti kong
麦粒肿,bak kau tsiam
感恩节,kam un tsiat
扛香藤,thang kau tin
流口水,lau tshui nua
闹笑话,tshut tshio ue
贼骨头,tshat a phiah
关山镇,kuan san tin
八败命,oo a tshui
恶势力,ok se lik
棉花棒,mi a ki
七日晕,ang sim a
用不著,bian iong kau
第几节,te kui tsiat
讲不通,kong be thong
土产的,thoo sinn a
随它去,te i khu
半疯儿,puann tian gong
病历表,penn lik pio
火烧山,he sio suann
干霍乱,ping too sua
满世界,mua se kai
养猪场,tshi ti tiunn
猪肝色,ti kuann sik
派代表,phai tai piau
九重葛,iap su hue
晒黑了,phak oo khi
地籍图,tue tsik too
听不清,thiann be bing
山莴苣,poo kong ing
紧嘟嘟,kin tong tong
车前草,goo kun tshau
连续剧,lian siok kiok
年夜饭,kue ni png
工尺谱,siang tshe kong
淘气鬼,tih tang kue
冒冷汗,lau tshin kuann
不像样,m tsiann lang
完了事,suah liau tai
龙头草,kueh niau tshau
太极金,tsai tsu siu
皱巴巴,jiau phe phe
逛酒家,tsam tsiu ka
中生代,tiong sing tai
验尸官,giam si kuann
吃不消,tu be tiau
养老院,iong lo inn
孩子王,gin a thau
加工业,ka kang giap
大笨蛋,gong tua tai
白背叶,peh pu a
团圆节,tiong tshiu tsueh
羊角疯,iunn kak hong
老相好,ku siang ho
咬舌根,tioh tsih kin
立人旁,khia jin ping
俏皮话,lih khiat ue
财政部,tsai tsing poo
度量大,u too liang
手电筒,tshiu tian a
软骨头,bo kut thau
仰口,kau khinn a
自用车,tsu iong tshia
耳根软,hinn khang khin
裁缝桌,tshai hong toh
裤扣子,khoo liu a
前人子,tsing lang kiann
空铁罐,tang kong a
铁木棍,thoo giu tshit
捉迷藏,bih sio tshue
生意人,sing li lang
得人心,tik jin sim
度量衡,tau tshin tshioh
铁闩子,thih tshuann a
耍嘴皮,lang tshui hue
溢洪道,ik hong to
台湾杉,tai uan sam
外地人,gua tue lang
窗格子,thang a ki
皮影戏,phe kau hi
填下去,thun loh khu
扳起来,pan khi lai
乌皮茶,oo phue te
水蜜桃,tsui bit tho
白冠鸡,oo ke a
不适当,m ho si
没著落,bo he loh
大使馆,tai sai kuan
集集镇,tsip tsip tin
没志气,bo tsi khi
海内外,hai lai gua
讲习会,kang sip hue
椅腿脚,i a kha
八斗子,pat tau tsi
马口铁,be khau thih
老半天,kui puann jit
独脚跳,tshiang kha ke
六甲乡,lak kah khu
南美洲,lam bi tsiu
育幼院,iok iu inn
溅进来,phuah jip lai
深坑乡,tshim khinn khu
百合花,koo tshe hue
比手力,at tshiu bue
黑洞洞,am moo moo
老太爷,lau tua lang
不知足,put ti tsiok
安哥拉,an ko la
女议员,li gi uan
天刚黑,bueh am a
梦游症,bang iu pinn
新台币,sin tai phio
伊拉克,i la khik
小燕鸥,hai inn a
单打一,kuan koo hang
打篮球,phah na kiu
水桶腰,tsui kui io
侵略者,tshim liak tsia
北竿乡,pak kan hiong
医学系,i hak he
脚痉孪,kha kiu kin
中白鹭,peh ling si
摆古董,pai koo tong
性变态,sing pian thai
脏兮兮,oo kui kui
司令台,su ling tai
金鱼虫,kim hi sau
按电铃,tshih tian ling
大埔心,tua poo sim
假面具,ang a bin
忠烈祠,tiong liat su
头份镇,thau hun tin
滨刀豆,pui ti to
帆布袋,phang poo te
皇帝豆,hong te tau
掉转头,khau huan thau
胭脂虎,hoo pa bu
压塌了,teh to khi
三商银,sam siong gun
耳边风,hinn khang hong
突击队,tut kik tui
长尾猴,tng be kau
服兵役,hok ping iah
遗腹子,ha bue kiann
湿嗒嗒,tam koo koo
老实说,lau sit kong
红茄苳,goo kha li
鸡屁股,ke kha tshng
鬼头刀,pe oo hoo
机会大,khah tua mng
选举人,suan ki lang
八角枫,ti hinn tong
复兴区,hok hing khu
蝴蝶兰,oo tiap lan
潭子乡,tham tsu khu
北门乡,pak mng khu
开裆裤,bo tue khoo
中分头,phua pin se
人缘差,lang ian tsha
司公钘,sai kong giang
长期病,ku tng penn
整个地,tsue tsit e
旅行袋,li hing te
调皮鬼,tih tang kue
大卖场,tua bue tiunn
打通关,kue thong kuan
黄连木,lan sim bok
无刺藤,tsui tang kue
抱紧紧,lam tiau tiau
金石榴,kim siah liu
打闷雷,too lai gi
有眉目,u bi bok
小货车,huat tsai a
抢第一,tsinn tso tsing
第三者,te sann tsia
生痱子,puh pui a
猪血糕,tu huih ke
做出来,tsue tshut lai
莺歌石,ing ko tsioh
集散地,tsip suann tue
爱玉子,ai giok a
观护人,kuan hoo jin
议事录,gi su liok
添秤头,tah tshin thau
火龙果,hue liong ko
美联社,bi lian sia
货柜车,hue kui tshia
元宵节,guan siau tseh
瓜实蝇,kue phang a
讨人厌,ge lang lan
茂林乡,boo lim khu
喘大气,tshuan tua khui
洗衣机,sue sann ki
加工品,ka kang phin
上元节,siong guan me
演讲会,ian kang hue
玉井乡,giok tsenn khu
老婆婆,lau a ma
体育馆,the iok kuan
斋明寺,tsai bing si
加工区,ka kang khu
马公市,ma king tshi
车鼓阵,tshia koo hi
打冷颤,khi ui kuann
抗生素,khong sing soo
油幌幌,iu lap lap
参谋长,tsham boo tiunn
下腹部,pak too bue
左营区,tso iann khu
在室女,lau koo po
小鸭子,ah bi a
小媳妇,sim pu a
兴冲冲,hing tshuh tshuh
添加物,thinn ka but
大工程,tua kang su
法西斯,huat se su
小鬼头,gin a tsiann
绣球花,siu kiu hue
自来水,tsui to tsui
杉林溪,sam lim khe
下工夫,he kang hu
装表面,phoo bin than
口出狂,thoo tua ue
隘寮溪,ài liau khe
拣剩的,king tshun e
准考证,tsun kho tsing
一连串,it lian tshuan
活见鬼,huan tioh kui
龙涎香,ling sian hiunn
黄梅季,ng mui thinn
奥地利,o tue li
打算盘,tak sng puann
流鼻水,lau phinn tsui
仅次于,kin tshu i
青一色,thau kha tshinn
助产婆,tsoo san su
红莴苣,ang me a
理想家,li siong ka
好机会,ho lau pai
工学院,kang hak inn
埤头乡,pi thau hiong
好几天,kui na kang
小溪旁,sio khe kinn
看天色,khuann thinn sik
冷冰冰,tshin ki ki
竹节蓼,gia kang tik
建筑业,kian tiok giap
死刑犯,si hing huan
走后门,siap au tsinn
黑钻石,oo tsin tsu
矮冬瓜,ue koo ting
消防栓,siau hong sng
普洱茶,tshau phu te
扭伤手,lau tioh tshiu
拔舌根,tioh tsih kin
网球赛,bang kiu sai
榄仁树,pi pe tshiu
光复节,kong hok tsiat
捞起来,koo khi lai
眼睫毛,bak tsiu mng
电唱机,thiok im ki
猫须草,niau tshiu tshau
老天爷,thinn kong peh
金眼鲷,sann kak a
黏搭搭,siunn lap lap
快快来,khuai khuai lai
一连串,sann lian sua
昭和草,ia tang o
关西镇,kuan se tin
打瞌睡,bak sa si
袒开来,hian khui khui
打圆场,tau inn oo
慢悠悠,un un a
影剧圈,iann kiok khuan
格子门,sue tsi mng
农作物,long tsok but
安乐椅,khong khiau i
李子羔,li a ko
工作室,kang tsok sik
下三等,sann po sann
大笨牛,hai lam gong
音乐台,im gak tai
南庄乡,lam tsng hiong
不在乎,bo tsun bun
躲猫猫,bih sio tshe
会做人,gau tsue lang
士林区,su lim khu
圆凳子,koo i a
韩国队,han kok tui
三数个,sann thau si
赚五成,tui puann than
牡丹坑,boo tan khenn
说起来,seh khi lai
石蟾蜍,to te khing
铅笔心,ian pit ian
捏不断,liam be tng
山埔姜,tui bin oo
使眼色,sai bak tsinn
大杂院,tua tshu lai
骨架大,tua ki kut
酱油膏,tau iu ko
挖墙脚,tshiunn au kha
电力学,tian lik hak
高脚七,tik ko kui
父母亲,si tua lang
交叉口,kau tshe khau
下巴长,hoo tau e
头盖骨,thau khak kut
好几个,kui na e
还魂草,huan hun tshau
竖中指,ki tiong tsainn
拖过去,thua kue khi
驳壳枪,pok khak tshing
徐徐地,khuann khuann a
保险套,po hiam tho
怎么办,an tsuann tshong
离不开,be li tit
星貂鲛,hue tiam bu
开裆裤,khui kha khoo
单眼皮,tan gan phe
不道德,bo to tik
红豆饼,kong a ke
小气鬼,siau phi gian
日内瓦,jit lai ua
篮委会,na ui hue
哲学家,tiat hak ka
跌下马,puah loh be
蜘蛛丝,ti tu si
不划算,sng be ho
居下风,ki ha hong
老公公,oo ji sang
广播界,kong poo kai
劣根性,phainn sim hing
端午节,goo gueh tseh
圆尾,gong a hu
桃花面,tho hue bin
轰炸机,hong tsa ki
有盼儿,u ng bang
圆仔汤,inn a thng
万桃花,liu a kio
莺歌镇,ing ko khu
桥头乡,kio thau khu
春不老,tshun put lo
金宁乡,kim ling hiong
内埔乡,lai poo hiong
来回票,ong hue tuann
含笑花,ham tshio hue
眼力差,bak tsiu tun
牛乳榕,gu ling tshing
紫背草,be tue ng
闹肚子,phai pak too
垂下来,tin loh lai
刽子手,kue tsu siu
刮胡子,kuah tshui tshiu
生力军,sing lik kun
闽南语,ban lam gi
七堵区,tshit too khu
上大当,sian tua hinn
九斤鸡,siong hai kue
祖师庙,tsoo su bio
公安局,kong an kiok
收听到,siu thiann tioh
开夜车,khui ia tshia
恶势力,ok si lik
清水溪,tshing tsui khe
长福岩,tsoo su bio
脚抽筋,kiu kha kun
成问题,sing bun tue
蟋蟀草,tshian kun tshau
胖嘟嘟,pui tsut tsut
交易所,kau ik soo
兴中会,hing tiong hue
双叉路,siang tshe loo
卑南乡,pi lam hiong
法兰西,huat lan se
伤脑筋,siong nau kun
板羽球,sam moo kiu
西班牙,se pan ga
苦哈哈,san kui kui
发帖子,pang thiap a
依赖性,i nai sing
芦洲市,loo tsiu khu
绿岛乡,lik to hiong
割草刀,kuah tshau to
红淡比,ang tam pi
脑震荡,nau tsin tong
半土鸡,hong a ke
长春花,tshun a hue
孵豆芽,hip tau tshai
空气枪,phau a kong
主办权,tsu pan kuan
耳咽管,hinn ang a
说狠话,kong ngi ue
企业家,su giap ka
望安乡,bang uann hiong
武夷茶,tshau phu te
瞭望台,uan bong tai
代言人,tai gian jin
炊事兵,he thau kun
罗汉鱼,tsiam tshui a
小金樱,sio kim hue
黑心肝,oo sim kuann
照规矩,tsiau khi kang
木头人,tsha ang a
愈来愈,ju lai ju
蓄电池,thiok tian ti
委员会,ui uan hue
夹尾狗,iap bue kau
不要紧,bo iau kin
不小心,bo tiunn ti
寿丰溪,siu hong khe
观光局,kuan kong kiok
学手艺,oh tshiu ge
食蟹蒙,phong bue ba
大小眼,im iang bak
末帖药,be thiap ioh
皮肤科,phe hu kho
面朝天,bin hiang thinn
死亡率,si bong lut
香馥馥,phang kun kun
慢性子,nua sing te
饭桶２,png thang ping
性能力,sing ling lik
收徒弟,siu too te
赤条条,thng kng kng
抱悲观,phau pi kuan
红肉李,ang bah li
铜镜参,tang kiann hi
黑糖糕,oo thng kue
参议院,tsham gi inn
争霸战,tsing pa tsian
教务长,kau bu tiunn
荡秋千,hinn tshian tshiu
王锦蛇,tshau tshenn a
最合适,siong ho se
倒插门,tshah lue be
生产量,sing san liong
水笔仔,tsui pit a
搭寮子,tah liau a
无止境,bo tsi king
苦哈哈,san gian gian
总商会,tsong siong hue
杨柳腰,tsui tsua io
黄喉貂,ng hioh niau
长春花,jit jit tshun
马克思,ma khik su
千金藤,le piah tin
没出息,bo liau si
购买力,koo bue lik
竹田乡,tik tshan hiong
一月多,tsit geh gua
打招呼,sio tsioh mng
女主角,li tsu kak
火龙珠,hue liong tsu
躲猫猫,bih sio tshue
棒棒糖,pang pang thng
金钱蟹,kim tsinn he
皱眉头,lik bak bai
金桔汁,kiat a tsiap
黑眼珠,oo bak jin
水源地,tsui to thau
烧焦味,he sio bi
镇定剂,tin ting tse
千里马,tshian li be
食不服,tsiah bue hah
老男人,lau kong a
老婆儿,lau a po
有人缘,u lang ian
脱光光,thng kng kng
树头鲜,tsai tsang ng
褐鹰鸮,niau thau tsiau
计划书,ke ue su
喷火器,phun he khi
犁头店,le thau tiam
摆门面,pai mng bin
醉醺醺,tsui bang bang
特有的,tik iu e
大胃王,tua tsiah kheh
学写字,oh sia ji
营业额,ing giap giah
红带参,tsioh he hu
汤圆汤,inn a thng
双溪口,siang khe khau
漆黑的,am so so
照情理,tsiau khi kang
坏榜样,phainn tshua thau
麦芽糖,beh le ko
犯得著,kann sai tioh
月子病,geh lai pinn
光溜溜,kng ko ko
守本分,siu pun hun
正方形,tsing hong hing
没能力,bo huat too
旁观者,pong kuan tsia
八掌溪,pat tsiang khe
俯著睡,phak teh khun
红眼症,ang bak kinn
红茄苳,ang ka tang
相思病,siunn si pinn
压塌了,teh to khu
五城堡,goo siann po
尖尾鹬,tsiam bue a
眼睛亮,bak tsiu kim
兰阳溪,lan iang khe
滤油器,lu iu khi
母火鸡,hue ke bo
报名表,po mia pio
团体操,thuan the tshau
慢吞吞,tauh tauh a
捉迷藏,iam si hi
八宝粥,pat po be
放水灯,pang tsui ting
风化区,han tsi tshi
理事国,li su kok
